,col1,col2,col3
Lea
Eddy
Los Alamos
Rio Arriba
San Juan
McKinely
Bernalillo
Valencia
Cibola
Sierra
Socorro
Catron
Grant
Hidalgo
Luna
Dona Ana
Taos
Santa Fe
Otero
Torrance
Lincoln
Colfax
Mora
Union
Harding
San Miguel
Quay
Guadelupe
De Baca
Curry
Roosevelt
Chaves
Sandoval
