,col1,col2,col3
Scott
Clinton
Lyon
Sioux
Plymouth
Cherokee
O'Brien
Osceola
Dickinson
Clay
Buena Vista
Pocahontas
Palo Alto
Emmet
Kossuth
Humboldt
Woodbury
Ida
Sac
Calhoun
Webster
Greene
Carroll
Crawford
Monona
Harrison
Shelby
Audubon
Guthrie
Adair
Cass
Pottawattamie
Fremont
Mills
Montgomery
Page
Taylor
Adams
Union
Ringgold
Decatur
Clarke
Madison
Dallas
Boone
Hamilton
Wright
Hancock
Winnebago
Worth
Cerro Gordo
Franklin
Hardin
Story
Polk
Warren
Lucas
Wayne
Appanoose
Monroe
Marion
Jasper
Marshall
Grundy
Butler
Floyd
Mitchcell
Howard
Chickasaw
Bremer
Black Hawk
Tama
Poweshiek
Mahaska
Wapello
Davis
Van Buren
Jefferson
Benton
Iowa
Keokuk
Washington
Henry
Lee
Des Moines
Louisa
Muscatine
Johnson
Linn
Cedar
Jones
Buchanan
Fayette
Winneshiek
Allamakee
Clayton
Delaware
Dubuque
Jackson
